product,section,content
V1. Soft Bead Cleanser,deskripsi,"Dengan busa lembut yang dapat mengangkat sisa makeup dan minyak, menjaga kulit tetap lembap"
V1. Soft Bead Cleanser,deskripsi,Butiran scrub halus (Micro Crystal Cellulose) mengangkat sel kulit mati dengan lembut
V1. Soft Bead Cleanser,deskripsi,Mencerahkan kulit
V2. Natural Balance Essence,deskripsi,Menyeimbangkan pH kulit
V2. Natural Balance Essence,deskripsi,Menyegarkan kulit
V2. Natural Balance Essence,deskripsi,Meningkatkan daya serap kulit terhadap pemakaian produk
V2. Natural Balance Essence,deskripsi,Bebas minyak dan alkohol
V3. Intense PAF Concentrate,deskripsi,Mengandung Vitamin C 20% yang stabil
V3. Intense PAF Concentrate,deskripsi,Memberikan perlindungan antioksidan
V3. Intense PAF Concentrate,deskripsi,Mengencangkan dan mencerahkan kulit
V3. Intense PAF Concentrate,deskripsi,Mendukung peningkatan produksi kolagen
V4. Active Day Cream,deskripsi,Melembapkan dan menyegarkan kulit
V4. Active Day Cream,deskripsi,Melindungi kulit dari radikal bebas
V4. Active Day Cream,deskripsi,Mengunci pemakaian serum agar lebih optimal
V5. Regenerative Night Cream,deskripsi,Krim malam bebas minyak
V5. Regenerative Night Cream,deskripsi,Menenangkan dan menutrisi kulit
V5. Regenerative Night Cream,deskripsi,Meningkatkan regenerasi sel kulit
V5. Regenerative Night Cream,deskripsi,Mengunci pemakaian serum agar lebih optimal
W1. Rich Bubble Cleanser,deskripsi,"Dengan busa yang sangat lembut, namun dapat mengangkat sisa makeup dan minyak"
W1. Rich Bubble Cleanser,deskripsi,Menjaga kulit tetap lembap
W1. Rich Bubble Cleanser,deskripsi,Mencerahkan kulit
W2. Even Tone Essence,deskripsi,Menyeimbangkan pH kulit
W2. Even Tone Essence,deskripsi,Menyegarkan kulit
W2. Even Tone Essence,deskripsi,Meningkatkan daya serap kulit terhadap pemakaian produk
W2. Even Tone Essence,deskripsi,Bebas minyak dan alkohol
W3. Enriched Brightening Serum,deskripsi,Mengandung bahan pencerah alami yang aman
W3. Enriched Brightening Serum,deskripsi,Memudarkan flek hitam
W3. Enriched Brightening Serum,deskripsi,Meratakan warna kulit
W3. Enriched Brightening Serum,deskripsi,Menghaluskan kulit
W4. Illuminating Day Cream,deskripsi,Melembapkan dan mencerahkan kulit
W4. Illuminating Day Cream,deskripsi,Melindungi kulit dari radikal bebas
W4. Illuminating Day Cream,deskripsi,Mengunci pemakaian serum agar lebih optimal
W5. Refining Night Cream,deskripsi,Krim malam bebas minyak
W5. Refining Night Cream,deskripsi,Mencerahkan dan menutrisi kulit
W5. Refining Night Cream,deskripsi,Meningkatkan regenerasi sel kulit
W5. Refining Night Cream,deskripsi,Mengunci pemakaian serum agar lebih optimal
Smart Skin Cream SPF 50+/PA+++,deskripsi,Mengandung SPF 50+/PA+++
Smart Skin Cream SPF 50+/PA+++,deskripsi,"4 in 1: makeup base, foundation, tabir surya, dan skincare"
Smart Skin Cream SPF 50+/PA+++,deskripsi,Tekstur ringan dan mencerahkan kulit
3C Spot Treatment,deskripsi,Clears: Membersihkan wajah dari bakteri penyebab jerawat dan sisa minyak serta sel-sel kulit mati yang menyumbat pori-pori wajah
3C Spot Treatment,deskripsi,Calms: Meredakan iritasi dan peradangan kulit akibat jerawat
3C Spot Treatment,deskripsi,Cares: Mencegah terjadinya luka dan pigmentasi bekas jerawat
Flawless Finish Perfecting Loose Powder,deskripsi,Memberikan efek translucent yang membuat kulit tampak mulus dan bercahaya
Flawless Finish Perfecting Loose Powder,deskripsi,"Mengatasi kilau minyak pada wajah tanpa menyumbat pori-pori, meratakan tekstur makeup"
ELVi PRO,deskripsi,"Meningkatkan penyerapan produk skincare, mengencangkan wajah, mengurangi tanda penuaan dan membantu mengatasi jerawat serta pigmentasi."
Muti-Glow Skin loving Liquid Blush,deskripsi,Blush cair ringan yang mudah dibaurkan untuk hasil dewy dan natural
Muti-Glow Skin loving Liquid Blush,deskripsi,Lembut untuk kulit sensitif maupun rentan berjerawat
Pro-Revival Hydrating Eye Serum,deskripsi,"Serum mata bertekstur ringan dengan bahan aktif perlebahan ynag melembapkan, menenangkan, dan meratakan tanpa menyumbat pori."
Pro-Revival Hydrating Eye Serum,deskripsi,"Ideal dipakai sebelum riasan, dari pagi hingga malam."
