product,section,content
V1. Soft Bead Cleanser,cara_pemakaian,1. Gunakan di pagi dan malam hari 
V1. Soft Bead Cleanser,cara_pemakaian,2. Basahkan wajah dengan air 
V1. Soft Bead Cleanser,cara_pemakaian,"3. Keluarkan produk pada ujung jari, tambahkan air lalu busakan "
V1. Soft Bead Cleanser,cara_pemakaian,4. Usapkan dengan lembut ke seluruh wajah dengan gerakan memutar 
V1. Soft Bead Cleanser,cara_pemakaian,5. Bilas dengan air hingga bersih lalu keringkan dengan handuk atau tisu
V2. Natural Balance Essence,cara_pemakaian,"1. Gunakan saat pagi dan malam hari, setelah pemakaian cleanser BSKIN "
V2. Natural Balance Essence,cara_pemakaian,2. Tuangkan secukupnya pada kapas 
V2. Natural Balance Essence,cara_pemakaian,3. Usapkan dengan lembut ke seluruh wajah dan leher dengan gerakan ke arah samping atas 
V2. Natural Balance Essence,cara_pemakaian,"4. Untuk pemakaian dengan tangan, tuangkan essence pada telapak tangan lalu tepuk ringan pada wajah"
V3. Intense PAF Concentrate,cara_pemakaian,1. Gunakan dua kali sehari (pagi dan malam) setelah pemakaian essence 
V3. Intense PAF Concentrate,cara_pemakaian,"2. Ambil serum dengan pipet, tuang 1-2 tetes di punggung tangan "
V3. Intense PAF Concentrate,cara_pemakaian,"3. Bagi serum ke lima titik wajah (dagu, pipi, hidung, dan dahi) "
V3. Intense PAF Concentrate,cara_pemakaian,4. Usapkan dengan lembut ke seluruh wajah dan leher (hindari area mata)
V4. Active Day Cream,cara_pemakaian,1. Gunakan di pagi hari setelah pemakaian Serum BSKIN 
V4. Active Day Cream,cara_pemakaian,2. Tuangkan 1-2 pump di punggung tangan 
V4. Active Day Cream,cara_pemakaian,"3. Bagi krim ke lima titik wajah (dagu, pipi, hidung, dan dahi) "
V4. Active Day Cream,cara_pemakaian,4. Usapkan merata dengan lembut ke seluruh wajah dan leher
V5. Regenerative Night Cream,cara_pemakaian,1. Gunakan di malam hari setelah pemakaian Serum BSKIN 
V5. Regenerative Night Cream,cara_pemakaian,2. Ambil krim secukupnya dengan spatula 
V5. Regenerative Night Cream,cara_pemakaian,"3. Bagi krim ke lima titik wajah (dagu, pipi, hidung, dan dahi) "
V5. Regenerative Night Cream,cara_pemakaian,4. Usapkan merata dengan lembut ke seluruh wajah dan leher
W1. Rich Bubble Cleanser,cara_pemakaian,1. Gunakan saat pagi dan malam hari 
W1. Rich Bubble Cleanser,cara_pemakaian,2. Basahi wajah dengan air 
W1. Rich Bubble Cleanser,cara_pemakaian,3. Tuangkan 1-2 pump di ujung jari 
W1. Rich Bubble Cleanser,cara_pemakaian,4. Usapkan dengan lembut ke seluruh wajah dan leher dengan gerakan memutar 
W1. Rich Bubble Cleanser,cara_pemakaian,5. Bilas dengan air hingga bersih lalu keringkan dengan handuk atau tisu
W2. Even Tone Essence,cara_pemakaian,"1. Gunakan saat pagi dan malam hari, setelah pemakaian cleanser BSKIN "
W2. Even Tone Essence,cara_pemakaian,2. Tuangkan secukupnya pada kapas 
W2. Even Tone Essence,cara_pemakaian,3. Usapkan dengan lembut ke seluruh wajah dan leher dengan gerakan ke arah samping atas 
W2. Even Tone Essence,cara_pemakaian,"4. Untuk pemakaian dengan tangan, tuangkan essence pada telapa"
W3. Enriched Brightening Serum,cara_pemakaian,1. Gunakan dua kali sehari (pagi dan malam) setelah pemakaian essence 
W3. Enriched Brightening Serum,cara_pemakaian,2. Tuangkan 1-2 pump di punggung tangan 
W3. Enriched Brightening Serum,cara_pemakaian,"3. Bagi serum ke lima titik wajah (dagu, pipi, hidung, dan dahi) "
W3. Enriched Brightening Serum,cara_pemakaian,4. Usapkan dengan lembut ke seluruh wajah dan leher (hindari area mata)
W4. Illuminating Day Cream,cara_pemakaian,1. Gunakan di pagi hari setelah pemakaian Serum BSKIN 
W4. Illuminating Day Cream,cara_pemakaian,2. Tuangkan 1-2 pump di punggung tangan 
W4. Illuminating Day Cream,cara_pemakaian,"3. Bagi krim ke lima titik wajah (dagu, pipi, hidung, dan dahi) "
W4. Illuminating Day Cream,cara_pemakaian,4. Usapkan merata dengan lembut ke seluruh wajah dan leher
W5. Refining Night Cream,cara_pemakaian,1. Gunakan di malam hari setelah pemakaian Serum BSKIN 
W5. Refining Night Cream,cara_pemakaian,2. Ambil krim secukupnya dengan spatula 
W5. Refining Night Cream,cara_pemakaian,"3. Bagi krim ke lima titik wajah (dagu, pipi, hidung, dan dahi) "
W5. Refining Night Cream,cara_pemakaian,4. Usapkan merata dengan lembut ke seluruh wajah dan leher
