product,section,content
HDI Origins™ Royal Jelly,kemasan,Tersedia dalam Tablet dan Liquid
HDI Origins™ Pollenergy 520,kemasan,90 tablet / botol
HDI Origins™ Bee Propolis Tablet,kemasan,"HDI Origins™ Bee Propolis, 60 tablet / botol"
HDI Naturals™ Clover Honey,kemasan,"Tersedia dalam pilihan 250 gram, 500 gram dan 1 kg"
HDI Propoelix™,kemasan,"Setiap vegekaps berisi 200 mg propolis, dikemas dalam 1 boks berisi 60 vegekaps (@ 6 blister)"
HDI Propoelix™ Plus,kemasan,"Kemasan 60 vegecaps, isi 5 blister @ 12 vegecaps"
HDI Kids™ HoneyBee PollenS,kemasan,60 chewable tablet / botol
HDI KIDS Gummy Bees,kemasan,Kemasan Pouch @ 60 gummies @ 3 gr
HDI KIDS Hunny Bees,kemasan,1 boks isi 15 sachets @ 10 ml.
HDI KIDS Q Bees,kemasan,Kemasan ziplock @ 60 tablet kunyah
HDI Bone and Joint Health,kemasan,Botol 60 Vegecaps
HDI UltraX,kemasan,60 kapsul per botol.
HDI TrimeeX,kemasan,60 kaplet per botol.
HDI Lozenges Honey Lemon,kemasan,12 Lozenges
HDI Lozenges Honey Elderflower,kemasan,12 Lozenges
HDI Herbal Remedy,kemasan,150 ml / botol
