product,section,content
HDI Propoelix™ Plus,kandungan,"Propoelix™ Ekstrak bee propolis kaya akan kandungan polifenol yang bermanfaat meningkatkan kekebalan tubuh. Propoelix juga terbukti memiliki sifat antimikroba, antijamur, antivirus, dan antiinflamasi. Kandungan Caffeic Acid Phenethyl Ester (CAPE) dalam propolis terbukti efektif dalam menahan perkembangan kanker. Selain itu, nilai ORAC dari Propoelix™ yang mencapai 21.921 terbukti sebagai sumber antioksidan yang mampu mencegah kerusakan DNA."
HDI Propoelix™ Plus,kandungan,"Ekstrak Jamur Lingzhi (Ganoderma lucidum). Termasuk salah satu jamur herbal yang paling sering digunakan untuk terapi kanker. Senyawa utama dengan aktivitas farmakologi yang signifikan adalah asam Ganoeric, Triterpen, dan Polisakarida1 . Lingzhi mengandung 50 Polisakarida dan 150 molekul Triterpenoid, dan sebagai immunomodulator. Lingzhi memuat 110 asam amino yang mendukung aktivitas biologisnya."
HDI Propoelix™ Plus,kandungan,"Ekstrak Jamur Shiitake (Lentinus edodes). Sejak masa Dinasti Ming, Shiitake dikenal sebagai “makanan kaisar”. Kemampuan Shiitake dalam melancarkan energi vital, mencegah rasa lapar, menyembuhkan demam, dan melancarkan aliran darah2 karena komponen aktif polisakarida yang aktivitasnya sudah dibuktikan dalam berbagai penelitian. Peneliti dari Universitas Nasional Kangwoon, Institut Biosains dan Bioteknologi pada tahun 2009, membuktikan Shiitake sebagai immunopotentiator."
HDI Propoelix™ Plus,kandungan,Ekstrak Jamur Maitake (Grifola frondosa). Jamur langka ini berasal dari Jepang Utara dan mendapatkan banyak rekomendasi dari ahli-ahli herbal Jepang karena manfaatnya. Maitake dengan kandungan bioaktif D-Fraksi telah digunakan sebagai immunotherapy pada kanker usus besar dengan hasil yang memuaskan.
HDI KIDS Gummy Bees,kandungan,Ekstrak Rumput Laut Sebagai bahan alternatif pengganti gelatin
HDI KIDS Gummy Bees,kandungan,Ekstrak Goji Berry Kaya antioksidan
HDI KIDS Gummy Bees,kandungan,Madu Mempunyai sifat antibakteri dan menenangkan
HDI KIDS Gummy Bees,kandungan,Ekstrak Propolis (Propoelix™) Melindungi dan memperkuat sistem imunitas tubuh anak
HDI KIDS Gummy Bees,kandungan,Ekstrak Rasa Alami Stroberi dan Anggur Hijau Sumber vitamin C dan rasa yang lezat
HDI KIDS Hunny Bees,kandungan,Ekstrak Propolis (Propoelix™) Mengandung flavonoid yang membantu menguatkan sistem kekebalan tubuh
HDI KIDS Hunny Bees,kandungan,HDI Naturals™ Clover Honey Menenangkan tenggorokan dan meredakan batuk
HDI KIDS Hunny Bees,kandungan,Ekstrak Jahe Memiliki sifat antiinflamasi yang membantu mengurangi peradangan pada saluran pernapasan
HDI KIDS Hunny Bees,kandungan,Ekstrak Thyme Kaya vitamin C dan antioksidan yang membantu melawan infeksi
HDI KIDS Hunny Bees,kandungan,Ekstrak Jeruk Nipis Meningkatkan produksi sel darah putih yang penting untuk pertahanan tubuh terhadap penyakit
HDI KIDS Q Bees,kandungan,"Bee Pollen Kaya nutrisi seperti, protein, asam amino, vitamin, dan mineral yang memiliki efek antiinflamasi, antioksidan, dan membantu meningkatkan sistem kekebalan tubuh"
HDI KIDS Q Bees,kandungan,Ekstrak Black Elderberry Membantu meredakan durasi dan keparahan gejala flu dengan senyawa bioaktifnya yang mampu melawan virus
HDI KIDS Q Bees,kandungan,"Ekstrak Lithothamnium calcareum Sejenis alga merah yang mendukung kesehatan tulang, otot, dan saraf. Ekstraknya mudah diserap tubuh, sehingga baik untuk kesehatan tulang dan pencernaan"
HDI KIDS Q Bees,kandungan,"Clover Honey Sebagai sumber energi alami, memiliki sifat antibakteri dan mendukung kesehatan secara keseluruhan"
HDI KIDS Q Bees,kandungan,"Ekstrak bacopa monnieri Membantu meningkatkan kesehatan otak secara keseluruhan, termasuk fungsi kognitif, memori, dan konsentrasi"
HDI KIDS Q Bees,kandungan,"Ekstrak Rose Hips Kaya vitamin C dan flavonoid, ekstraknya sering digunakan dalam suplemen untuk meningkatkan kesehatan kulit dan mengurangi risiko infeksi."
HDI Bone and Joint Health,kandungan,Ekstrak Propolis Membantu mengurangi perubahan tulang rawan yang disebabkan oleh penambahan usia
HDI Bone and Joint Health,kandungan,Royal Jelly Membantu menjaga kesehatan tulang secara menyeluruh.
HDI Bone and Joint Health,kandungan,Plant Based Glucosamine (Corn) Membantu meningkatkan fungsi persendian
HDI Bone and Joint Health,kandungan,Plant Based Kalsium (Algae) Membantu menjaga kepadatan tulang
HDI Bone and Joint Health,kandungan,Magnesium Bisglycinate Membantu penyerapan kalsium untuk kesehatan tulang
HDI Bone and Joint Health,kandungan,Vitamin D3 Membantu mencegah osteoporosis dan patah tulang
HDI Bone and Joint Health,kandungan,Vitamin K2 Membantu pembentukan dan pemeliharaan tulang
HDI Bone and Joint Health,kandungan,Ekstrak Rosehips Membantu fleksibilitas persendian tulang
HDI UltraX,kandungan,"Ekstrak Tribulus terrestis Meningkatkan kadar testosteron alami, memperbaiki performa seksual, dan membantu pertumbuhan massa otot"
HDI UltraX,kandungan,"Ekstrak Royal Jelly Membantu meningkatkan vitalitas, memperbaiki metabolisme, dan mendukung regenerasi sel."
HDI UltraX,kandungan,Ekstrak Avena sativa Membantu memperbaiki kualitas sperma serta keseimbangan hormonal yang berperan dalam kesuburan.
HDI UltraX,kandungan,"Ekstrak Bee Pollen Sumber nutrisi lengkap (protein, vitamin, mineral), meningkatkan energi, dan mempercepat pemulihan tubuh."
HDI UltraX,kandungan,Ekstrak Saw palmetto Mendukung kesehatan prostat dan memperbaiki aliran urinasi.
