product,section,content
HDI Origins™ Royal Jelly,manfaat,Memiliki efek antipenuaan yang membuat terlihat awet muda
HDI Origins™ Royal Jelly,manfaat,Memperpanjang rentang hidup karena membuat tubuh lebih sehat
HDI Origins™ Royal Jelly,manfaat,Meningkatkan produksi kolagen sehingga mempertahankan keremajaan dan kelenturan kulit
HDI Origins™ Royal Jelly,manfaat,"Memperbaiki sistem reproduksi, termasuk meningkatkan kesuburan suami-istri, mengatasi nyeri haid, dan menjaga kesehatan sistem reproduksi setelah menopause2"
HDI Origins™ Royal Jelly,manfaat,Meningkatkan daya ingat dan melindungi sistem saraf
HDI Origins™ Royal Jelly,manfaat,Mencegah osteoporosis karena membantu meningkatkan kemampuan tulang untuk menyerap kalsium dan menstimulasi pembentukan tulang
HDI Origins™ Pollenergy 520,manfaat,Memenuhi kebutuhan tubuh akan nutrisi penting
HDI Origins™ Pollenergy 520,manfaat,Meningkatkan fungsi metabolisme tubuh
HDI Origins™ Pollenergy 520,manfaat,Meningkatkan tenaga dan stamina secara alami
HDI Origins™ Pollenergy 520,manfaat,Meningkatkan kinerja dan konsentrasi otak
HDI Origins™ Pollenergy 520,manfaat,Meningkatkan jumlah sel darah merah yang sehat
HDI Origins™ Bee Propolis Tablet,manfaat,"Sebagai antibakteri, antivirus, dan antijamur"
HDI Origins™ Bee Propolis Tablet,manfaat,Membantu mengatasi peradangan
HDI Origins™ Bee Propolis Tablet,manfaat,Sebagai sumber antioksidan tinggi sehingga dapat melawan radikal bebas yang sangat berbahaya bagi tubuh
HDI Origins™ Bee Propolis Tablet,manfaat,Membantu menurunkan kadar kolesterol jahat dan trigliserida sehingga membantu melindungi jantung
HDI Naturals™ Clover Honey,manfaat,"Membantu menjaga kesehatan sistem pencernaan, seperti mengatasi konstipasi / sembelit dan luka (tukak) lambung, meningkatkan penyerapan nutrisi, serta menjaga keseimbangan bakteri menguntungkan dan menghambat bakteri2 merugikan"
HDI Naturals™ Clover Honey,manfaat,Sebagai sumber energi
HDI Naturals™ Clover Honey,manfaat,Sebagai pengganti gula yang aman sehingga baik untuk penderita diabetes
HDI Naturals™ Clover Honey,manfaat,Baik untuk sistem pernapasan karena madu bersifat mukolitik (mengencerkan dahak)
HDI Propoelix™,manfaat,Meningkatkan daya tahan tubuh: Propoelix™ terbukti mampu meningkatkan aktivitas sel-sel imun tubuh dengan mengaktifkan fungsi Lymphosit T dan makrofag
HDI Propoelix™,manfaat,"Mampu melawan proses oksidasi yang merugikan dengan nilai ORAC (Oxygen Radical Absorbance Capacity) hingga 21.921, artinya memiliki kandungan antioksidan 913 kali lebih banyak dari jeruk, yaitu 24"
HDI Propoelix™,manfaat,Menghambat peradangan berkat kandungan CAPE (Caffeic Acid Phenethyl Ester) di dalamnya yang terbukti mampu meredakan inflamasi terutama pada organ tubuh bagian dalam. Efek Ethanolic Extract Propolis (EEP) terhadap inflamasi kronis telah dibuktikan dalam penelitian
HDI Propoelix™ Plus,manfaat,Mengatur sistem kekebalan tubuh
HDI Propoelix™ Plus,manfaat,Meminimalkan efek samping dari kemoterapi
HDI Propoelix™ Plus,manfaat,"Berfungsi sebagai immunomodulator, immunopotentiator, dan immunotherapy"
HDI Kids™ HoneyBee PollenS,manfaat,Melengkapi asupan nutrisi tumbuh kembang anak
HDI Kids™ HoneyBee PollenS,manfaat,Membantu meningkatkan kemampuan berpikir dan konsentrasi belajar anak
HDI Kids™ HoneyBee PollenS,manfaat,Sebagai antioksidan tinggi yang dapat melawan radikal-radikal bebas berbahaya
HDI KIDS Gummy Bees,manfaat,Mengandung vitamin C untuk menjaga imunitas tubuh
HDI KIDS Gummy Bees,manfaat,Membantu menjaga anak tetap sehat dan tangguh
HDI KIDS Hunny Bees,manfaat,Meredakan batuk dan sakit tenggorokan secara efektif
HDI KIDS Hunny Bees,manfaat,Meningkatkan sistem kekebalan tubuh anak
HDI KIDS Q Bees,manfaat,Meningkatkan sistem imun tubuh
HDI KIDS Q Bees,manfaat,"Mengandung kalsium, magnesium dan kalium untuk membantu menjaga kesehatan dan pertumbuhan tulang anak"
HDI KIDS Q Bees,manfaat,Meningkatkan perkembangan otak dan konsentrasi
HDI KIDS Q Bees,manfaat,Meningkatkan energi dan stabilitas emosi
