product,section,content
HDI Origins™ Royal Jelly,deskripsi,Suplemen Premium Antipenuaan dan Kesehatan Sistem Reproduksi
HDI Origins™ Royal Jelly,deskripsi,"Royal jelly atau susu lebah berasal dari kelenjar hypopharyngeal lebah perawat. Lebah pekerja biasa mengonsumsi royal jelly selama tiga hari pertamanya, sementara ratu lebah mengonsumsi royal jelly seumur hidupnya. Ratu lebah terbukti dapat hidup 40 kali lebih lama dibandingkan lebah pekerja biasa. Ratu lebah juga menghasilkan hingga dua ribu telur per hari, sementara lebah betina lainnya tidak menghasilkan telur."
HDI Origins™ Pollenergy 520,deskripsi,Sumber Nutrisi Sempurna dari Alam
HDI Origins™ Pollenergy 520,deskripsi,"HDI Origins™ Pollenergy 520 mengandung campuran bee pollen berkualitas dari berbagai dataran tinggi di Amerika, tanpa proses pemanasan, dibekukan pada suhu nol derajat, serta tanpa pewarna buatan, pemanis, perasa tambahan, maupun bahan pengawet kimiawi."
HDI Origins™ Bee Propolis Tablet,deskripsi,Suplemen Alami untuk Kekebalan Tubuh
HDI Origins™ Bee Propolis Tablet,deskripsi,HDI Origins™ Bee Propolis mengandung propolis yang diproses dengan metode ekstraksi khusus untuk mendapatkan propolis yang murni dan berkualitas. Propolis dikenal sebagai antibiotik alami yang dapat meningkatkan sistem kekebalan tubuh secara alami. Propolis berbeda dengan obat antibiotik sintetik yang dapat membuat bakteri menjadi kebal dan melemahkan sistem kekebalan tubuh.
HDI Origins™ Pollenergy 520,deskripsi,"HDI Origins™ Pollenergy 520 mengandung campuran bee pollen berkualitas dari berbagai dataran tinggi di Amerika, tanpa proses pemanasan, dibekukan pada suhu nol derajat, serta tanpa pewarna buatan, pemanis, perasa tambahan, maupun bahan pengawet kimiawi."
HDI Propoelix™,deskripsi,Harapan Baru Penderita Demam Berdarah & HIV/ AIDS
HDI Propoelix™,deskripsi,Teruji secara klinis mempercepat proses pemulihan pasien DBD dan meningkatkan level CD4 (limfosit/ sel darah putih) pada pasien HIV dewasa.
HDI Propoelix™,deskripsi,Kapsul HDI Propoelix™ Hadir dalam Kemasan yang Lebih Kaya Manfaat
HDI Propoelix™,deskripsi,"• Dosis propolis extract (200 mg) setiap vegecaps. • Vegetarian friendly atau aman bagi vegetarian, dalam cangkang kapsul vegecaps. • Praktis dan higienis, dengan kemasan perforated blister"
HDI Propoelix™,deskripsi,Penelitian Terbaru Bersama RS Soerojo (2025)
HDI Propoelix™,deskripsi,"Penelitian klinis HDI bersama RS Soerojo Magelang pada tenaga kesehatan dengan obesitas, diabetes, dan hipertensi menunjukkan Propoelix™ aman dikonsumsi setiap hari dan efektif mendukung 4 pilar kesehatan tubuh: imunitas, metabolisme, kesehatan kardiovaskular, serta ketahanan tubuh terhadap stres (peningkatan HRV/ Heart Rate Variability)."
HDI Propoelix™ Plus,deskripsi,Suplemen Premium Antikanker untuk Kekebalan Tubuh Optimal
