product,section,content
Better Botanics Baby Soothing Cream,kandungan,"Ekstrak Propolis Bersifat antiinflamasi, membantu menenangkan kulit yang teriritasi, dan meringankan kondisi seperti ruam popok atau eksim"
Better Botanics Baby Soothing Cream,kandungan,Madu Bersifat antibakteri dan sebagai pelembap yang bermanfaat bagi kesehatan kulit bayi
Better Botanics Baby Soothing Cream,kandungan,"Ekstrak Bunga Calendula Officinalis Membantu melindungi kulit bayi dari infeksi, dan membantu penyembuhan luka"
Better Botanics Baby Soothing Cream,kandungan,Ekstrak Aloe Vera Organik Membantu menghambat pertumbuhan mikroorganisme berbahaya
Better Botanics Baby Soothing Cream,kandungan,"Oat Kernel Flour Membantu memperkuat barrier kulit, menenangkan, dan melembapkan kulit"
Better Botanics Baby Soothing Cream,kandungan,Lilin Lebah Membantu meningkatkan kapasitas regenerasi kulit
Better Botanics Baby Soothing Cream,kandungan,Ekstrak Bunga Chamomilla Recutita Mengandung antioksidan yang membantu melindungi kulit bayi dari kerusakan akibat radikal bebas
Better Botanics Baby Soothing Cream,kandungan,Ekstrak Akar Polygonum Cuspidatum Membantu meredakan peradangan pada kulit
Better Botanics Baby Soothing Cream,kandungan,"Skin Soother Complex Ekstrak Buah Hylocereus Undatus, Ekstrak Daun Rosmarinus Officinalis, Ekstrak Akar Glycyrrhiza Glabra, Ekstrak Daun Centella Asiatica, Ekstrak Daun Camelia Sinensis, Ekstrak Akar Scutellaria Baicalensis, dan Ekstrak Berberis Vulgaris"
Better Botanics Baby Massage Oil,kandungan,Minyak Zaitun Membantu menambah berat badan pada pemijatan bayi prematur
Better Botanics Baby Massage Oil,kandungan,Minyak Shiunko Membantu mendorong epitelisasi kulit yang terluka
Better Botanics Baby Massage Oil,kandungan,Minyak Argan menutrisi dan melindungi kulit bayi saat dipijat
Better Botanics Baby Massage Oil,kandungan,Minyak Bunga Matahari Membantu meningkatkan pertumbuhan bayi baru lahir dan mengurangi angka kesakitan jika digunakan konsisten
Better Botanics Baby Massage Oil,kandungan,"Minyak Licorice Membantu memberikan efek menenangkan pada kulit, meredakan peradangan, dan meregenerasi pasokan kolagen serta elastin pada kulit"
Better Botanics Baby Massage Oil,kandungan,Madu Sebagai pelembap alami dan menghidrasi sampai ke dalam kulit bayi
Better Botanics Baby Massage Oil,kandungan,Minyak Biji Anggur Mengandung asam linoleat yang membantu melindungi elemen pelindung kulit bayi
Better Botanics Baby Massage Oil,kandungan,"Minyak Kelapa Memiliki sifat antimikroba dan antijamur yang membantu melindungi kulit bayi dari infeksi, serta memberikan kelembapan"
Better Botanics Baby Massage Oil,kandungan,Kombinasi Natural Aroma Minyak Lavender dan Minyak Jahe Dengan aroma minyak lavender membantu meningkatkan lamanya tidur malam pada bayi. dan aroma minyak jahe mempunyai efek stimulasi dan menghangatkan.
Better Botanics Bio Propolis Cream,kandungan,Propolis Extract (Propoelix™) Mengurangi risiko infeksi dan mempercepat proses penyembuhan luka
Better Botanics Bio Propolis Cream,kandungan,BioEcolia® Menjaga mikrobiom kulit dengan cara menghambat pertumbuhan bakteri yang merugikan.
Better Botanics Bio Propolis Cream,kandungan,Oat Kernel Flour Memperkuat barrier kulit dan melembapkan kulit.
Better Botanics Bio Propolis Cream,kandungan,Organic Aloe Vera Extract Menyejukkan kulit yang teriritasi dan mengobati luka.
Better Botanics Bio Propolis Cream,kandungan,Olive Oil Bersifat antimikroba dan menstimulasi pembentukan pembuluh darah untuk proses penutupan luka dan reepitelisasi luka.
Better Botanics Bio Propolis Cream,kandungan,Honey Extract Bersifat antiinflamasi dan antibakteri yang efektif membantu penyembuhan luka dan mensterilkan luka yang terinfeksi.
Better Botanics Buzz Away Propolis Spray,kandungan,Minyak Sereh (Citroella Oil) Efektif sebagai penolak nyamuk Aedes aegypti.
Better Botanics Buzz Away Propolis Spray,kandungan,Minyak Lavender Memiliki aktivitas insektisida dan dapat menenangkan kulit.
Better Botanics Buzz Away Propolis Spray,kandungan,Minyak Geranium Penolak alami terhadap kutu dan nyamuk.
