product,section,content
V1. Soft Bead Cleanser,kategori,Vita Advanced Line
V2. Natural Balance Essence,kategori,Vita Advanced Line
V3. Intense PAF Concentrate,kategori,Vita Advanced Line
V4. Active Day Cream,kategori,Vita Advanced Line
V5. Regenerative Night Cream,kategori,Vita Advanced Line
W1. Rich Bubble Cleanser,kategori,White Glow Line
W2. Even Tone Essence,kategori,White Glow Line
W3. Enriched Brightening Serum,kategori,White Glow Line
W4. Illuminating Day Cream,kategori,White Glow Line
W5. Refining Night Cream,kategori,White Glow Line
Smart Skin Cream SPF 50+/PA+++,kategori,Multitasker
3C Spot Treatment,kategori,Multitasker
Flawless Finish Perfecting Loose Powder,kategori,Multitasker
